"project_group_id","root_issue_key","estado_general","Aprobación","Criterios de aceptación","Documentar Criterios de Aceptación","Implementación Q&A","Solicitud Paso a Producción","Solicitud de Paso a TEST","Subtarea","TEST - Validación Montaje Dev","Test criterios de aceptación","Testing","Testing de Criterios"
"5272562","AFO-4027","Creado","AFO-4074 | AFO-4075 | AFO-4076 | AFO-4077 | AFO-4078","AFO-4016 | AFO-4021 | AFO-4026","AFO-4007","AFO-4027","AFO-4073","AFO-4014 | AFO-4058 | AFO-4065","AFO-4008 | AFO-4009 | AFO-4010 | AFO-4011 | AFO-4029 | AFO-4061 | AFO-4066","","AFO-4017 | AFO-4018 | AFO-4019 | AFO-4020 | AFO-4022 | AFO-4023 | AFO-4024 | AFO-4025","AFO-4013","AFO-4015"
"5277917","AC-19006","Creado","AC-19124 | AC-19125 | AC-19126 | AC-19127 | AC-19128","AC-19001","AC-18327","AC-19006","AC-19123","AC-18999 | AC-19084 | AC-19089","AC-18328 | AC-18329 | AC-18330 | AC-18331 | AC-19024","AC-19085 | AC-19092","AC-19002 | AC-19003","AC-18988","AC-19000"
